GACC	State	Group	Site	Date	Fuel	Percent	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-04-24	10-Hour	5	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-03-15	10-Hour	25	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-02-28	10-Hour	23	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-02-14	10-Hour	10	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-01-19	10-Hour	46	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2017-01-05	10-Hour	19	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-12-19	10-Hour	12	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-12-05	10-Hour	16	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-11-09	10-Hour	10	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-10-25	10-Hour	10	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-10-13	10-Hour	11	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-09-29	10-Hour	14	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-09-12	10-Hour	13	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-08-29	10-Hour	18	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-08-09	10-Hour	16	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-07-25	10-Hour	13	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-07-12	10-Hour	11	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-06-29	10-Hour	16	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-06-16	10-Hour	20	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-06-01	10-Hour	50	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-05-17	10-Hour	14	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-05-04	10-Hour	12	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-04-04	10-Hour	8	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-03-21	10-Hour	11	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2016-03-09	10-Hour	15	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2015-11-04	10-Hour	14	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2015-10-21	10-Hour	12	
